Time: 2.48[s], x=12.00225[m], y=0.90028[m], yaw=0.04519[rad], v=4.77963[m/s], steer=-0.00411[rad], accel=0.01093[m/s^2]
Time: 2.52[s], x=12.19324[m], y=0.90892[m], yaw=0.04488[rad], v=4.78006[m/s], steer=-0.01250[rad], accel=0.00558[m/s^2]
Time: 2.56[s], x=12.38425[m], y=0.91750[m], yaw=0.04392[rad], v=4.78029[m/s], steer=0.00554[rad], accel=0.01110[m/s^2]
Time: 2.60[s], x=12.57528[m], y=0.92589[m], yaw=0.04434[rad], v=4.78073[m/s], steer=-0.00493[rad], accel=0.00914[m/s^2]
Time: 2.64[s], x=12.76632[m], y=0.93437[m], yaw=0.04397[rad], v=4.78110[m/s], steer=0.00568[rad], accel=0.00498[m/s^2]
Time: 2.68[s], x=12.95738[m], y=0.94278[m], yaw=0.04440[rad], v=4.78129[m/s], steer=-0.02472[rad], accel=-0.00170[m/s^2]
Time: 2.72[s], x=13.14844[m], y=0.95127[m], yaw=0.04251[rad], v=4.78123[m/s], steer=-0.00049[rad], accel=-0.00521[m/s^2]
Time: 2.76[s], x=13.33952[m], y=0.95939[m], yaw=0.04247[rad], v=4.78102[m/s], steer=0.00914[rad], accel=-0.00119[m/s^2]
Time: 2.80[s], x=13.53059[m], y=0.96751[m], yaw=0.04317[rad], v=4.78097[m/s], steer=0.00640[rad], accel=-0.00127[m/s^2]
Time: 2.84[s], x=13.72165[m], y=0.97577[m], yaw=0.04366[rad], v=4.78092[m/s], steer=0.00222[rad], accel=-0.00177[m/s^2]
Time: 2.88[s], x=13.91270[m], y=0.98411[m], yaw=0.04383[rad], v=4.78085[m/s], steer=-0.00594[rad], accel=0.00194[m/s^2]
Time: 2.92[s], x=14.10375[m], y=0.99249[m], yaw=0.04338[rad], v=4.78093[m/s], steer=0.00053[rad], accel=0.00256[m/s^2]
Time: 2.96[s], x=14.29481[m], y=1.00079[m], yaw=0.04342[rad], v=4.78103[m/s], steer=-0.00593[rad], accel=0.01021[m/s^2]
Time: 3.00[s], x=14.48587[m], y=1.00909[m], yaw=0.04297[rad], v=4.78144[m/s], steer=-0.01614[rad], accel=0.00356[m/s^2]
Time: 3.04[s], x=14.67695[m], y=1.01730[m], yaw=0.04173[rad], v=4.78158[m/s], steer=-0.01902[rad], accel=0.00866[m/s^2]
Time: 3.08[s], x=14.86805[m], y=1.02528[m], yaw=0.04028[rad], v=4.78193[m/s], steer=-0.00921[rad], accel=-0.00035[m/s^2]
Time: 3.12[s], x=15.05917[m], y=1.03298[m], yaw=0.03957[rad], v=4.78191[m/s], steer=-0.01262[rad], accel=-0.00847[m/s^2]
Time: 3.16[s], x=15.25030[m], y=1.04055[m], yaw=0.03861[rad], v=4.78158[m/s], steer=-0.00254[rad], accel=-0.00752[m/s^2]
Time: 3.20[s], x=15.44142[m], y=1.04793[m], yaw=0.03841[rad], v=4.78127[m/s], steer=-0.01066[rad], accel=-0.00823[m/s^2]
Time: 3.24[s], x=15.63253[m], y=1.05528[m], yaw=0.03760[rad], v=4.78095[m/s], steer=-0.00822[rad], accel=-0.00586[m/s^2]
Time: 3.28[s], x=15.82363[m], y=1.06246[m], yaw=0.03697[rad], v=4.78071[m/s], steer=-0.01577[rad], accel=-0.01323[m/s^2]
Time: 3.32[s], x=16.01473[m], y=1.06953[m], yaw=0.03576[rad], v=4.78018[m/s], steer=-0.01643[rad], accel=-0.01121[m/s^2]
Time: 3.36[s], x=16.20581[m], y=1.07637[m], yaw=0.03450[rad], v=4.77973[m/s], steer=-0.01322[rad], accel=-0.00615[m/s^2]
Time: 3.40[s], x=16.39689[m], y=1.08296[m], yaw=0.03349[rad], v=4.77949[m/s], steer=-0.00686[rad], accel=-0.00287[m/s^2]
Time: 3.44[s], x=16.58796[m], y=1.08937[m], yaw=0.03297[rad], v=4.77937[m/s], steer=-0.00416[rad], accel=0.00540[m/s^2]
Time: 3.48[s], x=16.77903[m], y=1.09567[m], yaw=0.03265[rad], v=4.77959[m/s], steer=-0.00359[rad], accel=0.01958[m/s^2]
Time: 3.52[s], x=16.97011[m], y=1.10191[m], yaw=0.03238[rad], v=4.78037[m/s], steer=-0.00660[rad], accel=0.04191[m/s^2]
Time: 3.56[s], x=17.16123[m], y=1.10810[m], yaw=0.03187[rad], v=4.78205[m/s], steer=-0.00783[rad], accel=0.05750[m/s^2]
Time: 3.60[s], x=17.35241[m], y=1.11419[m], yaw=0.03127[rad], v=4.78435[m/s], steer=-0.00880[rad], accel=0.06604[m/s^2]
Time: 3.64[s], x=17.54369[m], y=1.12018[m], yaw=0.03060[rad], v=4.78699[m/s], steer=-0.00744[rad], accel=0.07126[m/s^2]
Time: 3.68[s], x=17.73508[m], y=1.12603[m], yaw=0.03003[rad], v=4.78984[m/s], steer=-0.00797[rad], accel=0.07994[m/s^2]
