Time: 2.52[s], x=6.01509[m], y=0.33927[m], yaw=0.03797[rad], v=4.53137[m/s], steer=-0.05552[rad], accel=0.12570[m/s^2]
Time: 2.56[s], x=6.19622[m], y=0.34615[m], yaw=0.03395[rad], v=4.53640[m/s], steer=-0.03542[rad], accel=0.03760[m/s^2]
Time: 2.60[s], x=6.37757[m], y=0.35231[m], yaw=0.03137[rad], v=4.53790[m/s], steer=-0.00867[rad], accel=-0.02283[m/s^2]
Time: 2.64[s], x=6.55899[m], y=0.35800[m], yaw=0.03074[rad], v=4.53699[m/s], steer=0.03193[rad], accel=-0.07203[m/s^2]
Time: 2.68[s], x=6.74039[m], y=0.36358[m], yaw=0.03306[rad], v=4.53411[m/s], steer=0.04461[rad], accel=-0.11250[m/s^2]
Time: 2.72[s], x=6.92165[m], y=0.36957[m], yaw=0.03630[rad], v=4.52961[m/s], steer=0.00755[rad], accel=-0.15374[m/s^2]
Time: 2.76[s], x=7.10272[m], y=0.37615[m], yaw=0.03685[rad], v=4.52346[m/s], steer=-0.03864[rad], accel=-0.16636[m/s^2]
Time: 2.80[s], x=7.28353[m], y=0.38282[m], yaw=0.03405[rad], v=4.51680[m/s], steer=-0.04594[rad], accel=-0.15806[m/s^2]
Time: 2.84[s], x=7.46410[m], y=0.38897[m], yaw=0.03073[rad], v=4.51048[m/s], steer=-0.04758[rad], accel=-0.12247[m/s^2]
Time: 2.88[s], x=7.64443[m], y=0.39451[m], yaw=0.02729[rad], v=4.50558[m/s], steer=-0.01692[rad], accel=-0.10176[m/s^2]
Time: 2.92[s], x=7.82459[m], y=0.39943[m], yaw=0.02607[rad], v=4.50151[m/s], steer=0.01655[rad], accel=-0.10184[m/s^2]
Time: 2.96[s], x=8.00459[m], y=0.40412[m], yaw=0.02726[rad], v=4.49744[m/s], steer=0.02288[rad], accel=-0.10693[m/s^2]
Time: 3.00[s], x=8.18442[m], y=0.40903[m], yaw=0.02891[rad], v=4.49316[m/s], steer=-0.00595[rad], accel=-0.10387[m/s^2]
